Ticker,Year,Sector,Current_Ratio,Quick_Ratio,Cash_Ratio,Operating_Cash_Flow_Ratio,Equity_Ratio,Debt_Equity_Ratio,Liabilities_to_Assets_Ratio,Interest_Coverage_Ratio,Asset_Turnover_Ratio,Receivables_Turnover_Ratio,Gross_Profit_Margin,Net_Profit_Margin,Operating_Margin,Return_On_Equity,Return_On_Assets,EPS,PER,Result
LNT,2018,Utilities,0.4775256979502463,0.3487014171887355,0.0127121221336901,0.3209658779879569,0.2972708414365357,1.1440565235405715,0.6897640347465318,2.7805668016194334,0.2290937378451964,15.2987012987013,0.3673174872665535,0.147792869269949,0.1943406904357668,0.1138975510827136,0.033858420847919,2.604272634791455,22.90329898148775,0.3699287492434936
LNT,2019,Utilities,0.426220729273161,0.3155639939632929,0.0079353488145659,0.321503334793827,0.3116695707365559,1.0629959078595992,0.6763548833282437,2.849761817515573,0.2184339578580538,17.01492537313433,0.3990405701754386,0.1555372807017543,0.2131853070175438,0.1090084724597029,0.0339746238181633,1.4271073533179606,34.0182529798744,-0.0267245679433595
LNT,2020,Utilities,0.6838858905165767,0.5165767154973014,0.0416345412490362,0.3862760215882806,0.3211744776962168,1.1900492264416316,0.6675324675324675,2.690909090909091,0.1928853754940711,15.25,0.4282786885245901,0.1826697892271662,0.2166276346604215,0.1097046413502109,0.0352343308865048,2.48582995951417,20.16792080534397,0.253922206883632
LNT,2021,Utilities,0.5204479065238559,0.4006815968841285,0.0189873417721519,0.2833495618305744,0.3228588368457931,1.1243739565943238,0.6771411631542069,2.8700361010830324,0.1977577750229073,16.234513274336283,0.4240937585173072,0.1837012810029981,0.2166802943581357,0.1125208681135225,0.0363283566000107,23.535714285714285,1.5964816937135458,-0.0611031120709672
GOOGL,2018,Communication Services,3.919006354708261,3.887030618139804,3.152512998266898,1.3856441363373773,0.7630330939207532,0.0222374850811808,0.2369669060792467,275.3684210526316,0.5877306780301729,6.45585806634266,0.5647607422945643,0.2246471615784357,0.229441817291458,0.17303578264688,0.1320320285920478,-3.782892307692308,-38.291337215794925,0.2699491069887503
GOOGL,2019,Communication Services,3.374051878552,3.351960372393357,2.6464474469825965,1.2056345503195418,0.7301030412201124,0.0196483355010375,0.2698969587798875,359.28,0.5866318242608977,5.887421795431398,0.5558054331910266,0.2121811228430034,0.2219737175407921,0.1704857974007406,0.1244721991671167,-1.8668732333115887,-46.94052184182424,0.2685580617854549
GOOGL,2020,Communication Services,3.066755815181053,3.053946581271774,2.40514480768554,1.1458633916317698,0.6962855426511814,0.062603350348695,0.3037144573488186,305.36296296296297,0.57108217360833,5.815925312261025,0.5357837470620785,0.2206194152098045,0.225851517857632,0.1809484865914156,0.1259918151782138,-1.2927862852740055,-51.802450601082846,0.6783440351912234
GOOGL,2021,Communication Services,2.928113424845146,2.9099044417468174,2.1733899835029726,1.4264014691692346,0.7004102786777558,0.0510421841158821,0.2995897213222441,227.4971098265896,0.7171164701559838,6.397740253290291,0.5693980290098084,0.2951167728237792,0.3055228868524319,0.30215590041131,0.2116330984112139,-1.5123722003421252,-34.547052033099654,-0.3929299571055558
GOOG,2018,Communication Services,3.919006354708261,3.887030618139804,3.152512998266898,1.3856441363373773,0.7630330939207532,0.0222374850811808,0.2369669060792467,275.3684210526316,0.5877306780301729,6.45585806634266,0.5647607422945643,0.2246471615784357,0.229441817291458,0.17303578264688,0.1320320285920478,-3.782892307692308,-38.24573702516809,0.2784050965245895
GOOG,2019,Communication Services,3.374051878552,3.351960372393357,2.6464474469825965,1.2056345503195418,0.7301030412201124,0.0196483355010375,0.2698969587798875,359.28,0.5866318242608977,5.887421795431398,0.5558054331910266,0.2121811228430034,0.2219737175407921,0.1704857974007406,0.1244721991671167,-1.8668732333115887,-46.92016587255858,0.2721647869324585
GOOG,2020,Communication Services,3.066755815181053,3.053946581271774,2.40514480768554,1.1458633916317698,0.6962855426511814,0.062603350348695,0.3037144573488186,305.36296296296297,0.57108217360833,5.815925312261025,0.5357837470620785,0.2206194152098045,0.225851517857632,0.1809484865914156,0.1259918151782138,-1.2927862852740055,-51.71078830762475,0.6742987096989509
GOOG,2021,Communication Services,2.928113424845146,2.9099044417468174,2.1733899835029726,1.4264014691692346,0.7004102786777558,0.0510421841158821,0.2995897213222441,227.4971098265896,0.7171164701559838,6.397740253290291,0.5693980290098084,0.2951167728237792,0.3055228868524319,0.30215590041131,0.2116330984112139,-1.5123722003421252,-34.23793328978476,-0.3892792840928764
MMM,2018,Industrials,1.89246272777471,1.2897570403092211,0.4463003865267808,0.8888735505245721,0.2683835616438356,1.3690281747652102,0.7301917808219178,19.237142857142857,0.8976712328767124,6.395666601600625,0.4908591484816115,0.1632534716923546,0.2054936670227376,0.546039199673336,0.1465479452054794,-1.0983572895277207,-155.14506116272645,-0.044963349947827
MMM,2019,Industrials,1.406527868141401,0.9582520060724354,0.2657774886141835,0.7666449793970939,0.2253297207729685,1.7408327536519923,0.7732595893324974,13.678571428571429,0.7195861976309367,6.475115857344348,0.4667662434652725,0.1422081155090863,0.190689569330346,0.4541389247739242,0.1023309971114445,-3.2103766879886284,-50.62381480049976,0.003294835584943
MMM,2020,Industrials,1.885002516356316,1.351660795168596,0.6338701560140916,1.0207599396074485,0.271776782696857,1.3980725887930363,0.7268714092598851,12.896030245746692,0.679790469753295,6.663354037267081,0.4840604026845637,0.1672880934625901,0.2119686800894854,0.4184347555762804,0.1137208516390672,-14.807065217391305,-10.68060344178691,0.0663193952110531
